League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,
LaLiga ,14/15 ,13 ,Sevilla ,Granada ,5 ,1 ,55% ,45% ,null ,null ,10 ,5 ,3 ,1 ,null ,null ,7 ,4 ,3 ,3 ,19 ,18 ,null ,null ,null ,null ,4 ,4 ,
LaLiga ,14/15 ,13 ,Córdoba ,Villarreal ,0 ,2 ,51% ,49% ,null ,null ,2 ,7 ,2 ,3 ,null ,null ,9 ,8 ,3 ,0 ,6 ,13 ,null ,null ,null ,null ,5 ,2 ,
LaLiga ,14/15 ,13 ,Valencia ,Barcelona ,0 ,1 ,42% ,58% ,null ,null ,3 ,4 ,5 ,5 ,null ,null ,5 ,8 ,3 ,5 ,10 ,9 ,null ,null ,null ,null ,3 ,3 ,
LaLiga ,14/15 ,13 ,Almería ,Rayo Vallecano ,0 ,1 ,50% ,50% ,null ,null ,0 ,5 ,6 ,5 ,null ,null ,5 ,6 ,6 ,1 ,12 ,13 ,4 ,4 ,0 ,0 ,4 ,0 ,
LaLiga ,14/15 ,14 ,Elche CF ,Atlético Madrid ,0 ,2 ,49% ,51% ,null ,null ,2 ,3 ,4 ,0 ,null ,null ,6 ,1 ,0 ,1 ,18 ,16 ,2 ,0 ,0 ,0 ,1 ,2 ,
LaLiga ,14/15 ,14 ,Athletic Bilbao ,Córdoba ,0 ,1 ,63% ,37% ,null ,null ,3 ,2 ,6 ,2 ,null ,null ,15 ,4 ,1 ,3 ,13 ,14 ,4 ,6 ,0 ,0 ,1 ,3 ,
LaLiga ,14/15 ,14 ,Real Madrid ,Celta Vigo ,3 ,0 ,49% ,51% ,null ,null ,10 ,0 ,6 ,4 ,null ,null ,8 ,7 ,4 ,0 ,16 ,19 ,4 ,4 ,0 ,0 ,0 ,7 ,
LaLiga ,14/15 ,14 ,Deportivo La Coruña ,Málaga ,0 ,1 ,56% ,44% ,null ,null ,8 ,3 ,5 ,4 ,null ,null ,5 ,5 ,2 ,3 ,16 ,13 ,4 ,3 ,0 ,0 ,2 ,7 ,
LaLiga ,14/15 ,14 ,Rayo Vallecano ,Sevilla ,0 ,1 ,47% ,53% ,null ,null ,2 ,6 ,5 ,4 ,null ,null ,6 ,2 ,2 ,1 ,13 ,20 ,4 ,7 ,0 ,1 ,5 ,2 ,
LaLiga ,14/15 ,14 ,Barcelona ,Espanyol ,5 ,1 ,74% ,26% ,null ,null ,9 ,2 ,4 ,0 ,null ,null ,5 ,2 ,6 ,0 ,6 ,11 ,0 ,4 ,0 ,0 ,1 ,3 ,
LaLiga ,14/15 ,14 ,Villarreal ,Real Sociedad ,4 ,0 ,59% ,41% ,null ,null ,9 ,2 ,5 ,3 ,null ,null ,8 ,2 ,1 ,1 ,14 ,8 ,2 ,2 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,14 ,Granada ,Valencia ,1 ,1 ,44% ,56% ,null ,null ,3 ,2 ,2 ,1 ,null ,null ,4 ,4 ,4 ,2 ,21 ,10 ,4 ,4 ,0 ,1 ,0 ,2 ,
LaLiga ,14/15 ,14 ,Eibar ,Almería ,5 ,2 ,49% ,51% ,null ,null ,7 ,3 ,5 ,6 ,null ,null ,7 ,3 ,4 ,1 ,19 ,11 ,4 ,3 ,0 ,0 ,1 ,3 ,
LaLiga ,14/15 ,14 ,Levante ,Getafe ,1 ,1 ,50% ,50% ,null ,null ,4 ,1 ,5 ,2 ,null ,null ,4 ,0 ,2 ,1 ,15 ,17 ,3 ,4 ,0 ,0 ,0 ,4 ,
LaLiga ,14/15 ,15 ,Almería ,Real Madrid ,1 ,4 ,40% ,60% ,null ,null ,2 ,10 ,7 ,5 ,null ,null ,2 ,8 ,0 ,6 ,14 ,8 ,4 ,4 ,0 ,0 ,6 ,2 ,
LaLiga ,14/15 ,15 ,Getafe ,Barcelona ,0 ,0 ,24% ,76% ,null ,null ,2 ,3 ,0 ,8 ,null ,null ,4 ,5 ,5 ,4 ,22 ,8 ,1 ,0 ,0 ,0 ,2 ,2 ,
LaLiga ,14/15 ,15 ,Valencia ,Rayo Vallecano ,3 ,0 ,45% ,55% ,null ,null ,5 ,4 ,7 ,7 ,null ,null ,6 ,2 ,0 ,2 ,16 ,15 ,4 ,3 ,1 ,0 ,4 ,2 ,
LaLiga ,14/15 ,15 ,Córdoba ,Levante ,0 ,0 ,58% ,42% ,null ,null ,4 ,3 ,8 ,3 ,null ,null ,7 ,6 ,3 ,1 ,6 ,19 ,0 ,3 ,0 ,0 ,3 ,4 ,
LaLiga ,14/15 ,15 ,Málaga ,Celta Vigo ,1 ,0 ,45% ,55% ,null ,null ,5 ,7 ,4 ,4 ,null ,null ,1 ,9 ,1 ,4 ,14 ,13 ,5 ,4 ,0 ,0 ,7 ,4 ,
LaLiga ,14/15 ,15 ,Espanyol ,Granada ,2 ,1 ,47% ,53% ,null ,null ,5 ,5 ,5 ,1 ,null ,null ,2 ,3 ,2 ,3 ,13 ,18 ,2 ,5 ,0 ,1 ,4 ,2 ,
LaLiga ,14/15 ,15 ,Sevilla ,Eibar ,0 ,0 ,72% ,28% ,null ,null ,2 ,2 ,6 ,3 ,null ,null ,11 ,2 ,3 ,1 ,11 ,17 ,3 ,6 ,0 ,0 ,2 ,2 ,
LaLiga ,14/15 ,15 ,Atlético Madrid ,Villarreal ,0 ,1 ,53% ,47% ,null ,null ,2 ,4 ,7 ,2 ,null ,null ,7 ,2 ,1 ,0 ,12 ,16 ,4 ,3 ,0 ,0 ,3 ,2 ,
LaLiga ,14/15 ,15 ,Real Sociedad ,Athletic Bilbao ,1 ,1 ,48% ,52% ,null ,null ,5 ,5 ,4 ,4 ,null ,null ,3 ,6 ,6 ,2 ,13 ,21 ,0 ,4 ,0 ,1 ,4 ,3 ,
LaLiga ,14/15 ,15 ,Deportivo La Coruña ,Elche CF ,1 ,0 ,58% ,42% ,null ,null ,5 ,5 ,4 ,3 ,null ,null ,7 ,5 ,0 ,2 ,19 ,20 ,5 ,2 ,0 ,0 ,5 ,3 ,
LaLiga ,14/15 ,16 ,Celta Vigo ,Almería ,0 ,1 ,64% ,36% ,null ,null ,6 ,2 ,8 ,1 ,null ,null ,17 ,2 ,4 ,1 ,10 ,18 ,5 ,4 ,0 ,0 ,1 ,5 ,
LaLiga ,14/15 ,16 ,Barcelona ,Córdoba ,5 ,0 ,68% ,32% ,null ,null ,9 ,2 ,3 ,3 ,null ,null ,8 ,0 ,1 ,1 ,14 ,7 ,1 ,0 ,0 ,0 ,2 ,3 ,
LaLiga ,14/15 ,16 ,Levante ,Real Sociedad ,1 ,1 ,51% ,49% ,null ,null ,3 ,2 ,5 ,0 ,null ,null ,3 ,4 ,3 ,5 ,17 ,20 ,3 ,5 ,0 ,0 ,1 ,2 ,
LaLiga ,14/15 ,16 ,Eibar ,Valencia ,0 ,1 ,56% ,44% ,null ,null ,4 ,3 ,2 ,4 ,null ,null ,2 ,5 ,3 ,0 ,16 ,13 ,7 ,3 ,0 ,0 ,2 ,4 ,
LaLiga ,14/15 ,16 ,Rayo Vallecano ,Espanyol ,1 ,3 ,53% ,47% ,null ,null ,4 ,4 ,8 ,1 ,null ,null ,4 ,5 ,1 ,0 ,12 ,18 ,3 ,5 ,0 ,1 ,1 ,3 ,
LaLiga ,14/15 ,16 ,Villarreal ,Deportivo La Coruña ,3 ,0 ,51% ,49% ,null ,null ,7 ,2 ,3 ,5 ,null ,null ,5 ,2 ,4 ,1 ,17 ,13 ,1 ,3 ,1 ,0 ,2 ,4 ,
LaLiga ,14/15 ,16 ,Granada ,Getafe ,1 ,1 ,52% ,48% ,null ,null ,2 ,3 ,5 ,6 ,null ,null ,3 ,5 ,3 ,1 ,19 ,8 ,4 ,2 ,0 ,0 ,2 ,1 ,
