Confirmed,PlayerFirstName,PlayerLastName,PlayerShortName,PlayerSlug,PlayerPosition,Time,IsHome,IncidentClass,IncidentType,GameID
false,,,M. Rashford,marcus-rashford,M,21,false,penaltyNotAwarded,varDecision,5475
true,null,null,J. Grealish,jack-grealish,F,45,true,goalAwarded,varDecision,5476
false,,,C. Basham,chris-basham,D,75,false,redCardGiven,varDecision,5478
true,null,null,J. Lundstram,john-lundstram,M,55,false,goalNotAwarded,varDecision,5478
true,null,null,A. Tettey,alexander-tettey,M,28,true,goalAwarded,varDecision,5478
true,null,null,A. Traoré,adama-traore,F,61,false,penaltyNotAwarded,varDecision,5479
true,null,null,A. Ogbonna,angelo-ogbonna,D,39,true,goalAwarded,varDecision,5480
true,,,M. Salah,mohamed-salah,F,90,true,goalAwarded,varDecision,5481
false,null,null,S. Mané,sadio-mane,F,51,true,goalAwarded,varDecision,5481
true,,,A. Barnes,ashley-barnes,F,79,true,cardUpgrade,varDecision,5482
false,null,null,D. Gosling,dan-gosling,M,84,false,goalNotAwarded,varDecision,5483
true,null,null,B. Chilwell,ben-chilwell,D,72,true,penaltyNotAwarded,varDecision,5484
true,,,T. Cantwell,todd-cantwell,M,33,false,cardUpgrade,varDecision,5484
false,null,null,J. Grealish,jack-grealish,F,79,false,penaltyAwarded,varDecision,5485
false,null,null,M. Targett,matt-targett,D,76,false,penaltyNotAwarded,varDecision,5485
true,,,J. Egan,john-egan,D,23,true,cardUpgrade,varDecision,5485
false,null,null,M. Antonio,michail-antonio,F,53,false,goalAwarded,varDecision,5486
true,null,null,S. Haller,sebastien-haller,F,26,false,penaltyNotAwarded,varDecision,5486
true,null,null,M. Greenwood,mason-greenwood,M,78,true,goalAwarded,varDecision,5487
true,null,null,V. Lindelöf,victor-lindelof,D,37,true,goalAwarded,varDecision,5487
true,,,R. Saiss,romain-saiss,D,75,true,cardUpgrade,varDecision,5488
true,null,null,H. Kane,harry-kane,F,72,false,penaltyNotAwarded,varDecision,5488
true,null,null,M. Montoya,martin-montoya,D,21,false,penaltyNotAwarded,varDecision,5490
true,null,null,D. Calvert-Lewin,dominic-calvert-lewin,F,68,true,penaltyNotAwarded,varDecision,5491
true,null,null,Wesley,wesley,F,56,true,penaltyNotAwarded,varDecision,5492
true,null,null,J. Rodriguez,jay-rodriguez,F,90,false,goalAwarded,varDecision,5493
true,null,null,P. Billing,philip-billing,M,68,true,cardUpgrade,varDecision,5493
false,null,null,J. O'Connell,jack-oconnell,D,55,false,goalAwarded,varDecision,5494
false,,,J. Egan,john-egan,D,9,false,goalAwarded,varDecision,5494
true,null,null,R. Sterling,raheem-sterling,F,42,true,penaltyAwarded,varDecision,5497
true,null,null,I. Sarr,ismaila-sarr,M,53,true,penaltyAwarded,varDecision,5498
true,null,null,D. Alli,dele-alli,M,86,true,penaltyNotAwarded,varDecision,5499
false,null,null,H. M. Son,heung-min-son,F,61,true,cardUpgrade,varDecision,5499
false,null,null,M. Alonso,marcos-alonso,D,45,false,penaltyNotAwarded,varDecision,5499
true,null,null,D. Origi,divock-origi,F,34,false,penaltyAwarded,varDecision,5500
false,null,null,H. Kane,harry-kane,F,25,true,goalAwarded,varDecision,5501
true,null,null,T. Pukki,teemu-pukki,F,16,false,penaltyNotAwarded,varDecision,5502
true,null,null,C. Wilson,callum-wilson,F,81,true,goalNotAwarded,varDecision,5503
true,,,C. Basham,chris-basham,D,19,true,goalNotAwarded,varDecision,5507
true,null,null,J. Otto,jonny-otto,M,52,true,penaltyNotAwarded,varDecision,5510
true,null,null,R. Sterling,raheem-sterling,F,24,false,penaltyAwarded,varDecision,5510
false,null,null,R. Mahrez,riyad-mahrez,F,21,false,penaltyNotAwarded,varDecision,5510
true,null,null,Y. Bissouma,yves-bissouma,M,76,true,penaltyNotAwarded,varDecision,5511
false,null,null,D. Burn,dan-burn,D,59,true,goalAwarded,varDecision,5511
true,null,null,D. Burn,dan-burn,D,49,true,cardUpgrade,varDecision,5511
true,null,null,F. Schär,fabian-schar,D,71,true,penaltyNotAwarded,varDecision,5512
true,null,null,A. Carroll,andy-carroll,F,29,true,goalNotAwarded,varDecision,5512
false,null,null,W. Zaha,wilfried-zaha,F,16,false,goalAwarded,varDecision,5513
true,null,null,G. Deulofeu,gerard-deulofeu,F,86,true,cardUpgrade,varDecision,5514
true,null,null,I. Sarr,ismaila-sarr,M,71,true,goalAwarded,varDecision,5514
true,null,null,T. Deeney,troy-deeney,F,64,true,penaltyAwarded,varDecision,5514
true,null,null,Wesley,wesley,F,28,false,penaltyNotAwarded,varDecision,5514
true,null,null,H. Kane,harry-kane,F,82,false,penaltyAwarded,varDecision,5515
false,null,null,T. Pukki,teemu-pukki,F,34,true,goalAwarded,varDecision,5515
