PlayerName,FirstName,LastName,ShortName,Slug,Position,Reason,Time,AddedTime,IsHome,IncidentClass,IncidentType,GameID
Danny Rose,,,D. Rose,danny-rose,D,Foul,50,null,true,yellow,card,5365
Harry Winks,,,H. Winks,harry-winks,M,Foul,45,2,true,yellow,card,5365
Romain Saïss,,,R. Saiss,romain-saiss,D,Foul,79,null,true,yellow,card,5366
Andreas Christensen,,,A. Christensen,andreas-christensen,D,Foul,64,null,false,yellow,card,5366
Tammy Abraham,,,T. Abraham,tammy-abraham,F,Foul,62,null,false,yellow,card,5366
Todd Cantwell,,,T. Cantwell,todd-cantwell,M,Foul,87,null,true,yellow,card,5367
Bernardo Silva,,,B. Silva,bernardo-silva,M,Foul,69,null,false,yellow,card,5367
Kenny McLean,,,K. McLean,kenny-mclean,M,Foul,64,null,true,yellow,card,5367
Sam Byram,,,S. Byram,sam-byram,D,Foul,45,2,true,yellow,card,5367
Morgan Schneiderlin,,,M. Schneiderlin,morgan-schneiderlin,M,Foul,90,5,false,yellow,card,5368
Richarlison,,,Richarlison,richarlison,F,Foul,66,null,false,yellow,card,5368
Lucas Digne,,,L. Digne,lucas-digne,D,Foul,58,null,false,yellow,card,5368
Fabian Delph,,,F. Delph,fabian-delph,M,Foul,40,null,false,yellow,card,5368
Étienne Capoue,,,É. Capoue,etienne-capoue,M,Foul,90,1,true,yellow,card,5369
Bernd Leno,,,B. Leno,bernd-leno,G,Time wasting,76,null,false,yellow,card,5369
Kiko Femenia,,,Kiko,kiko-femenia,D,Foul,56,null,true,yellow,card,5369
Mattéo Guendouzi,,,M. Guendouzi,matteo-guendouzi,M,Argument,45,2,false,yellow,card,5369
José Holebas,,,J. Holebas,jose-holebas,D,Argument,45,2,true,yellow,card,5369
Sead Kolašinac,,,S. Kolašinac,sead-kolasinac,D,Foul,43,null,false,yellow,card,5369
Tyrone Mings,,,T. Mings,tyrone-mings,D,Foul,77,null,true,yellow,card,5370
Arthur Masuaku,,,A. Masuaku,arthur-masuaku,D,Foul,67,null,false,yellowRed,card,5370
Mark Noble,,,M. Noble,mark-noble,M,Persistent fouling,29,null,false,yellow,card,5370
Jack Grealish,,,J. Grealish,jack-grealish,F,Foul,28,null,true,yellow,card,5370
Arthur Masuaku,,,A. Masuaku,arthur-masuaku,D,Foul,23,null,false,yellow,card,5370
Oriol Romeu,,,O. Romeu,oriol-romeu,M,Foul,80,null,true,yellow,card,5371
Jack Stacey,,,J. Stacey,jack-stacey,D,Foul,64,null,false,yellow,card,5371
Harry Wilson,,,H. Wilson,harry-wilson,M,Foul,54,null,false,yellow,card,5371
Jefferson Lerma,,,J. Lerma,jefferson-lerma,M,Foul,20,null,false,yellow,card,5371
Demarai Gray,,,D. Gray,demarai-gray,M,Foul,83,null,true,yellow,card,5372
Victor Wanyama,,,V. Wanyama,victor-wanyama,M,Foul,71,null,false,yellow,card,5372
Moussa Sissoko,,,M. Sissoko,moussa-sissoko,M,Foul,19,null,false,yellow,card,5372
Ibrahim Amadou,,,I. Amadou,ibrahim-amadou,M,Foul,33,null,false,yellow,card,5373
Dean Henderson,,,D. Henderson,dean-henderson,G,Argument,21,null,false,yellow,card,5374
George Baldock,,,G. Baldock,george-baldock,M,Argument,21,null,false,yellow,card,5374
Bernard,,,Bernard,bernard,F,Argument,21,null,true,yellow,card,5374
Oliver Norwood,,,O. Norwood,oliver-norwood,M,Foul,16,null,false,yellow,card,5374
Angeliño,,,Angeliño,angelino,M,Foul,81,null,true,yellow,card,5375
Kiko Femenia,,,Kiko,kiko-femenia,D,Foul,59,null,false,yellow,card,5375
Gerard Deulofeu,,,G. Deulofeu,gerard-deulofeu,F,Argument,59,null,false,yellow,card,5375
Bernardo Silva,,,B. Silva,bernardo-silva,M,Foul,19,null,true,yellow,card,5375
Lewis Dunk,,,L. Dunk,lewis-dunk,D,Foul,88,null,false,yellow,card,5376
Christian Atsu,,,C. Atsu,christian-atsu,M,Foul,79,null,true,yellow,card,5376
Javier Manquillo,,,J. Manquillo,javier-manquillo,D,Foul,44,null,true,yellow,card,5376
Romain Saïss,,,R. Saiss,romain-saiss,D,Foul,73,null,false,yellowRed,card,5377
Jordan Ayew,,,J. Ayew,jordan-ayew,F,Time wasting,62,null,true,yellow,card,5377
Romain Saïss,,,R. Saiss,romain-saiss,D,Foul,48,null,false,yellow,card,5377
James McArthur,,,J. McArthur,james-mcarthur,M,Foul,45,null,true,yellow,card,5377
Conor Coady,,,C. Coady,conor-coady,D,Foul,44,null,false,yellow,card,5377
Ashley Young,,,A. Young,ashley-young,M,Foul,83,null,false,yellow,card,5378
Mark Noble,,,M. Noble,mark-noble,M,Foul,74,null,true,yellow,card,5378
Juan Mata,,,J. Mata,juan-mata,M,Foul,48,null,false,yellow,card,5378
Angelo Ogbonna,,,A. Ogbonna,angelo-ogbonna,D,Foul,14,null,true,yellow,card,5378
Pierre-Emerick Aubameyang,,,P. Aubameyang,pierre-emerick-aubameyang,F,Foul,90,5,true,yellow,card,5379
Bernd Leno,,,B. Leno,bernd-leno,G,Time wasting,90,2,true,yellow,card,5379
Nicolas Pépé,,,N. Pépé,nicolas-pepe,F,Time wasting,85,null,true,yellow,card,5379
Björn Engels,,,B. Engels,bjorn-engels,D,Foul,83,null,false,yellow,card,5379
Mattéo Guendouzi,,,M. Guendouzi,matteo-guendouzi,M,Argument,44,null,true,yellow,card,5379
Ainsley Maitland-Niles,,,A. Maitland-Niles,ainsley-maitland-niles,M,Foul,41,null,true,yellowRed,card,5379
Granit Xhaka,,,G. Xhaka,granit-xhaka,M,Foul,35,null,true,yellow,card,5379
Ainsley Maitland-Niles,,,A. Maitland-Niles,ainsley-maitland-niles,M,Foul,11,null,true,yellow,card,5379
Marcos Alonso,,,M. Alonso,marcos-alonso,D,Foul,90,4,true,yellow,card,5380
James Milner,,,J. Milner,james-milner,M,Foul,86,null,false,yellow,card,5380
Mateo Kovačić,,,M. Kovačić,mateo-kovacic,M,Argument,84,null,true,yellow,card,5380
Fabinho,,,Fabinho,fabinho,M,Foul,78,null,false,yellow,card,5380
Trent Alexander-Arnold,,,T. Alexander-Arnold,trent-alexander-arnold,D,Time wasting,57,null,false,yellow,card,5380
Fikayo Tomori,,,F. Tomori,fikayo-tomori,D,Foul,20,null,true,yellow,card,5380
Adrián,,,Adrián,adrian,G,Time wasting,83,null,false,yellow,card,5381
Jack O'Connell,,,J. O'Connell,jack-oconnell,D,Time wasting,63,null,true,yellow,card,5381
Jay Rodriguez,,,J. Rodriguez,jay-rodriguez,F,Foul,90,7,false,yellow,card,5382
Mahmoud Trezeguet,,,Trezeguet,trezeguet,M,Argument,86,null,true,yellow,card,5382
Ashley Westwood,,,A. Westwood,ashley-westwood,M,Time wasting,77,null,false,yellow,card,5382
James Tarkowski,,,J. Tarkowski,james-tarkowski,D,Foul,44,null,false,yellow,card,5382
Ashley Barnes,,,A. Barnes,ashley-barnes,F,Argument,23,null,false,yellow,card,5382
Jefferson Lerma,,,J. Lerma,jefferson-lerma,M,Foul,90,null,true,yellow,card,5383
Steve Cook,,,S. Cook,steve-cook,D,Foul,88,null,true,yellow,card,5383
Issa Diop,,,I. Diop,issa-diop,D,Foul,79,null,false,yellow,card,5383
Diego Rico,,,D. Rico,diego-rico,D,Foul,32,null,true,yellow,card,5383
Adam Webster,,,A. Webster,adam-webster,D,Foul,49,null,false,yellow,card,5384
Steven Alzate,,,S. Alzate,steven-alzate,M,Simulation,33,null,false,yellow,card,5384
Marcos Alonso,,,M. Alonso,marcos-alonso,D,Foul,31,null,true,yellow,card,5384
Neal Maupay,,,N. Maupay,neal-maupay,F,Dangerous play,28,null,false,yellow,card,5384
Andreas Christensen,,,A. Christensen,andreas-christensen,D,Off the ball foul,23,null,true,yellow,card,5384
Luka Milivojević,,,L. Milivojević,luka-milivojevic,M,Foul,90,4,true,yellow,card,5385
Jeffrey Schlupp,,,J. Schlupp,jeffrey-schlupp,M,Time wasting,89,null,true,yellow,card,5385
Marco Stiepermann,,,M. Stiepermann,marco-stiepermann,M,Foul,64,null,false,yellow,card,5385
Jordan Ayew,,,J. Ayew,jordan-ayew,F,Foul,58,null,true,yellow,card,5385
Jan Bednarek,,,J. Bednarek,jan-bednarek,D,Foul,82,null,false,yellow,card,5386
Maya Yoshida,,,M. Yoshida,maya-yoshida,D,Foul,68,null,false,yellow,card,5386
Serge Aurier,,,S. Aurier,serge-aurier,D,Foul,31,null,true,yellowRed,card,5386
Serge Aurier,,,S. Aurier,serge-aurier,D,Foul,27,null,true,yellow,card,5386
José Holebas,,,J. Holebas,jose-holebas,D,Foul,68,null,false,yellow,card,5387
Yerry Mina,,,Y. Mina,yerry-mina,D,Foul,70,null,true,yellow,card,5388
Morgan Schneiderlin,,,M. Schneiderlin,morgan-schneiderlin,M,Foul,59,null,true,yellow,card,5388
Nicolás Otamendi,,,N. Otamendi,nicolas-otamendi,D,Foul,51,null,false,yellow,card,5388
Rodri,,,Rodri,rodri,M,Foul,38,null,false,yellow,card,5388
Fabian Schär,,,F. Schär,fabian-schar,D,Foul,88,null,false,yellow,card,5389
Isaac Hayden,,,I. Hayden,isaac-hayden,M,Foul,43,null,false,red,card,5389
Jamie Vardy,,,J. Vardy,jamie-vardy,F,Foul,24,null,true,yellow,card,5389
Granit Xhaka,,,G. Xhaka,granit-xhaka,M,Persistent fouling,77,null,false,yellow,card,5390
Jesse Lingard,,,J. Lingard,jesse-lingard,M,Foul,68,null,true,yellow,card,5390
Ashley Young,,,A. Young,ashley-young,M,Foul,41,null,true,yellow,card,5390
Andreas Pereira,,,A. Pereira,andreas-pereira,M,Foul,32,null,true,yellow,card,5390
Marcus Rashford,,,M. Rashford,marcus-rashford,M,Foul,27,null,true,yellow,card,5390
Calum Chambers,,,C. Chambers,calum-chambers,D,Foul,10,null,false,yellow,card,5390
Lewis Dunk,,,L. Dunk,lewis-dunk,D,Off the ball foul,89,null,true,yellow,card,5391
Dale Stephens,,,D. Stephens,dale-stephens,M,null,57,null,true,yellow,card,5391
Eric Dier,,,E. Dier,eric-dier,D,Off the ball foul,55,null,false,yellow,card,5391
Ashley Westwood,,,A. Westwood,ashley-westwood,M,Foul,90,4,true,yellow,card,5392
Djibril Sidibé,,,D. Sidibé,djibril-sidibe,D,Foul,86,null,false,yellow,card,5392
Jeff Hendrick,,,J. Hendrick,jeff-hendrick,M,Foul,64,null,true,yellow,card,5392
Séamus Coleman,,,S. Coleman,seamus-coleman,D,Foul,56,null,false,yellowRed,card,5392
Séamus Coleman,,,S. Coleman,seamus-coleman,D,Foul,43,null,false,yellow,card,5392
Hamza Choudhury,,,H. Choudhury,hamza-choudhury,M,Foul,89,null,false,yellow,card,5393
Jonny Evans,,,J. Evans,jonny-evans,D,Foul,69,null,false,yellow,card,5393
Çağlar Söyüncü,,,Ç. Söyüncü,caglar-soyuncu,D,Foul,53,null,false,yellow,card,5393
Fabinho,,,Fabinho,fabinho,M,Foul,39,null,true,yellow,card,5393
Wilfred Ndidi,,,W. Ndidi,wilfred-ndidi,M,Foul,30,null,false,yellow,card,5393
Frédéric Guilbert,,,F. Guilbert,frederic-guilbert,D,Foul,70,null,false,yellow,card,5394
Conor Hourihane,,,C. Hourihane,conor-hourihane,M,Foul,62,null,false,yellow,card,5394
John McGinn,,,J. McGinn,john-mcginn,M,Foul,42,null,false,yellow,card,5394
Teemu Pukki,,,T. Pukki,teemu-pukki,F,Foul,32,null,true,yellow,card,5394
John Lundstram,,,J. Lundstram,john-lundstram,M,Foul,90,1,false,yellow,card,5395
Oliver McBurnie,,,O. McBurnie,oliver-mcburnie,F,Foul,57,null,false,yellow,card,5395
Christian Benteke,,,C. Benteke,christian-benteke,F,Time wasting,90,6,false,yellow,card,5396
Ryan Fredericks,,,R. Fredericks,ryan-fredericks,D,Foul,86,null,true,yellow,card,5396
Sébastien Haller,,,S. Haller,sebastien-haller,F,Foul,61,null,true,yellow,card,5396
Joel Ward,,,J. Ward,joel-ward,D,Foul,51,null,false,yellow,card,5396
Andriy Yarmolenko,,,A. Yarmolenko,andriy-yarmolenko,M,Foul,44,null,true,yellow,card,5396
Gabriel Martinelli,,,G. Martinelli,gabriel-martinelli,M,Foul,72,null,true,yellow,card,5397
Jack Stacey,,,J. Stacey,jack-stacey,D,Foul,29,null,false,yellow,card,5397
Philip Billing,,,P. Billing,philip-billing,M,Foul,13,null,false,yellow,card,5397
João Moutinho,,,J. Moutinho,joao-moutinho,M,Persistent fouling,86,null,false,yellow,card,5398
Rúben Neves,,,R. Neves,ruben-neves,M,Foul,84,null,false,yellow,card,5398
Fernandinho,,,Fernandinho,fernandinho,M,Foul,76,null,true,yellow,card,5398
İlkay Gündoğan,,,İ. Gündoğan,ilkay-gundogan,M,Foul,71,null,true,yellow,card,5398
Ederson,,,Ederson,ederson,G,Argument,62,null,true,yellow,card,5398
João Cancelo,,,J. Cancelo,joao-cancelo,D,Foul,50,null,true,yellow,card,5398
Rodri,,,Rodri,rodri,M,Foul,50,null,true,yellow,card,5398
Jorginho,,,Jorginho,jorginho,M,Foul,12,null,false,yellow,card,5399
Marcos Rojo,,,M. Rojo,marcos-rojo,D,Foul,78,null,false,yellow,card,5400
Miguel Almirón,,,M. Almirón,miguel-almiron,M,Simulation,65,null,true,yellow,card,5400
Fabian Schär,,,F. Schär,fabian-schar,D,Time wasting,47,null,true,yellow,card,5400
Scott McTominay,,,S. McTominay,scott-mctominay,M,Foul,30,null,false,yellow,card,5400
DeAndre Yedlin,,,D. Yedlin,deandre-yedlin,D,Foul,15,null,true,yellow,card,5400
Fred,,,Fred,fred,M,Foul,3,null,false,yellow,card,5400
André Gomes,,,A. Gomes,andre-gomes,M,Foul,89,null,true,yellow,card,5401
Issa Diop,,,I. Diop,issa-diop,D,Foul,78,null,false,yellow,card,5401
